"1"	"HANK AARON"	23	3298	12364	2174	3771	624	98	755	2297	1402	"1383"	0.305	0.377	0.555	156	878	902	2550	"240"	"73"	"28"	0.98	54	"O"	84.6	1
"2"	"JERRY ADAIR"	13	1165	4019	378	1022	163	19	57	366	208	"499"	0.254	0.294	0.347	80	-117	-113	376	"29"	"29"	"-9"	0.985	-30	"2"	-6.6	0
"3"	"SPARKY ADAMS"	13	1424	5557	844	1588	249	48	9	394	453	"223"	0.286	0.343	0.353	82	-121	-133	679	"154"	"50"	"."	0.974	-37	"2"	-10.1	0
"4"	"BOBBY ADAMS"	14	1281	4019	591	1082	188	49	37	303	414	"447"	0.269	0.34	0.368	90	-54	-54	523	"67"	"30"	"."	0.955	10	"3"	-4.3	0
"5"	"JOE ADCOCK"	17	1959	6606	823	1832	295	35	336	1122	594	"1059"	0.277	0.339	0.485	125	158	198	1033	"20"	"25"	"."	0.994	-28	"1"	6.3	0
"6"	"TOMMIE AGEE"	12	1129	3912	558	999	170	27	130	433	342	"918"	0.255	0.321	0.412	108	26	34	507	"167"	"81"	"2"	0.975	19	"O"	0	0
"7"	"LUIS AGUAYO"	10	568	1104	142	260	43	10	37	109	94	"220"	0.236	0.307	0.393	91	-13	-16	133	"7"	"5"	"-1"	0.96	-2	"S"	0	0
"8"	"EDDIE AINSMITH"	15	1078	3048	299	707	108	54	22	317	263	"315"	0.232	0.296	0.324	76	-105	-99	317	"86"	"16"	"."	0.966	42	"C"	1.4	0
"9"	"BERNIE ALLEN"	12	1139	3404	357	815	140	21	73	351	370	"424"	0.239	0.315	0.357	91	-44	-42	391	"13"	"16"	"-6"	0.98	-48	"2"	-2.9	0
"10"	"ETHAN ALLEN"	13	1281	4418	623	1325	255	45	47	501	223	"310"	0.3	0.336	0.41	92	-40	-55	606	"84"	"4"	"."	0.981	0	"O"	-10.8	0
"11"	"DICK ALLEN"	15	1749	6332	1099	1848	320	79	351	1119	894	"1556"	0.292	0.381	0.534	156	470	469	1290	"133"	"52"	"9"	0.989	-77	"1"	33.5	0
"12"	"GENE ALLEY"	11	1195	3927	442	999	140	44	55	342	300	"622"	0.254	0.312	0.354	88	-65	-61	428	"63"	"30"	"1"	0.97	125	"S"	18.2	0
"13"	"BOB ALLISON"	13	1541	5032	811	1281	216	53	256	796	795	"1033"	0.255	0.36	0.471	126	211	192	877	"84"	"50"	"-5"	0.975	28	"O"	14.9	0
"14"	"BILL ALMON"	15	1236	3330	390	846	138	25	36	296	250	"636"	0.254	0.307	0.343	83	-95	-74	354	"128"	"60"	"2"	0.956	-1	"S"	-2.5	0
"15"	"SANDY ALOMAR"	15	1481	4760	558	1168	126	19	13	282	302	"482"	0.245	0.291	0.288	68	-213	-192	421	"227"	"80"	"20"	0.977	31	"2"	-5.8	0
"16"	"FELIPE ALOU"	17	2082	7339	985	2101	359	49	206	852	423	"706"	0.286	0.33	0.433	114	101	115	1028	"107"	"67"	"-8"	0.979	-41	"O"	-4	0
"17"	"JESUS ALOU"	15	1380	4345	448	1216	170	26	32	377	138	"267"	0.28	0.307	0.353	87	-89	-82	426	"31"	"46"	"-18"	0.968	-28	"O"	-19	0
"18"	"MATTY ALOU"	15	1667	5789	780	1777	236	50	31	427	311	"377"	0.307	0.346	0.381	105	30	35	764	"156"	"80"	"-1"	0.979	-41	"O"	-8.9	0
"19"	"JOEY AMALFITANO"	10	643	1715	248	418	67	19	9	123	185	"224"	0.244	0.322	0.321	78	-52	-46	180	"19"	"26"	"-10"	0.97	2	"2"	-2	0
"20"	"RUBEN AMARO"	11	940	2155	211	505	75	13	8	156	227	"280"	0.234	0.31	0.292	70	-84	-79	200	"11"	"14"	"-5"	0.967	24	"S"	-1.4	0
"21"	"DAVE ANDERSON"	10	873	2026	244	490	73	12	19	143	206	"331"	0.242	0.313	0.318	79	-61	-54	204	"49"	"30"	"-3"	0.97	54	"S"	3.2	0
"22"	"JOHN ANDERSON"	14	1635	6341	870	1841	328	124	49	976	310	"55"	0.29	0.328	0.404	114	70	95	985	"338"	"."	"."	1	-14	"O"	1.4	0
"23"	"CAP ANSON"	22	2276	9101	1719	2995	528	124	97	1879	952	"294"	0.329	0.395	0.446	139	562	470	1756	"247"	"."	"."	0.974	57	"1"	36.2	2
"24"	"LUIS APARICIO"	18	2599	10230	1335	2677	394	92	83	791	736	"742"	0.262	0.313	0.343	82	-235	-246	1137	"506"	"136"	"70"	0.972	51	"S"	12	1
"25"	"LUKE APPLING"	20	2422	8856	1319	2749	440	102	45	1116	1302	"528"	0.31	0.399	0.398	113	196	209	1493	"179"	"108"	"-11"	0.948	73	"S"	40.9	1
"26"	"JIMMY ARCHER"	12	847	2646	246	660	106	33	17	296	124	"241"	0.249	0.288	0.334	80	-71	-74	266	"36"	"6"	"."	0.971	4	"C"	-1	0
"27"	"TONY ARMAS"	14	1432	5164	614	1302	204	39	251	815	260	"1201"	0.252	0.29	0.453	103	-12	-6	629	"18"	"20"	"-7"	0.981	38	"O"	-1.8	0
"28"	"RICHIE ASHBURN"	15	2189	8365	1322	2574	317	109	29	586	1198	"571"	0.308	0.397	0.382	111	169	182	1386	"234"	"92"	"."	0.983	234	"O"	30.7	2
"29"	"ALAN ASHBY"	17	1370	4123	397	1010	183	13	90	513	461	"622"	0.245	0.323	0.361	93	-53	-35	478	"7"	"10"	"-4"	0.986	-41	"C"	-2.3	0
"30"	"BOB ASPROMONTE"	13	1324	4369	386	1103	135	26	60	457	333	"459"	0.252	0.31	0.336	86	-103	-81	441	"19"	"24"	"-9"	0.96	-58	"3"	-16.9	0
"31"	"JOE ASTROTH"	10	544	1579	163	401	51	10	13	156	177	"124"	0.254	0.334	0.324	77	-44	-48	175	"6"	"6"	"-2"	0.987	-2	"C"	-3.1	0
