Name,Seasons,Games,AB,Runs,Hits,Doubles,Triples,HR,RBI,BB,SO,BA,OBP,SLG,AdjPro,BatRun,AdjBatRun,RC,SB,CS,SBRuns,FieldAverage,FieldRuns,TotalPyrRate,Position,HOFStatus,Cluster
HANK AARON, 23.0, 3298.0, 12364.0, 2174.0, 3771.0, 624.0, 98.0, 755.0, 2297.0, 1402.0, 1383.0, 0.305, 0.377, 0.555, 156.0, 878.0, 902.0, 2550.0, 240.0, 73.0, 28.0, 0.98, 54.0, 84.6, O, 1, 0
JOE ADCOCK, 17.0, 1959.0, 6606.0, 823.0, 1832.0, 295.0, 35.0, 336.0, 1122.0, 594.0, 1059.0, 0.277, 0.339, 0.485, 125.0, 158.0, 198.0, 1033.0, 20.0, 25.0, 0.0, 0.994, -28.0, 6.3, 1, 0, 0
DICK ALLEN, 15.0, 1749.0, 6332.0, 1099.0, 1848.0, 320.0, 79.0, 351.0, 1119.0, 894.0, 1556.0, 0.292, 0.381, 0.534, 156.0, 470.0, 469.0, 1290.0, 133.0, 52.0, 9.0, 0.989, -77.0, 33.5, 1, 0, 0
BOB ALLISON, 13.0, 1541.0, 5032.0, 811.0, 1281.0, 216.0, 53.0, 256.0, 796.0, 795.0, 1033.0, 0.255, 0.36, 0.471, 126.0, 211.0, 192.0, 877.0, 84.0, 50.0, -5.0, 0.975, 28.0, 14.9, O, 0, 0
FELIPE ALOU, 17.0, 2082.0, 7339.0, 985.0, 2101.0, 359.0, 49.0, 206.0, 852.0, 423.0, 706.0, 0.286, 0.33, 0.433, 114.0, 101.0, 115.0, 1028.0, 107.0, 67.0, -8.0, 0.979, -41.0, -4.0, O, 0, 0
JOHN ANDERSON, 14.0, 1635.0, 6341.0, 870.0, 1841.0, 328.0, 124.0, 49.0, 976.0, 310.0, 55.0, 0.29, 0.328, 0.404, 114.0, 70.0, 95.0, 985.0, 338.0, 0.0, 0.0, 1.0, -14.0, 1.4, O, 0, 0
CAP ANSON, 22.0, 2276.0, 9101.0, 1719.0, 2995.0, 528.0, 124.0, 97.0, 1879.0, 952.0, 294.0, 0.329, 0.395, 0.446, 139.0, 562.0, 470.0, 1756.0, 247.0, 0.0, 0.0, 0.974, 57.0, 36.2, 1, 2, 0
LUIS APARICIO, 18.0, 2599.0, 10230.0, 1335.0, 2677.0, 394.0, 92.0, 83.0, 791.0, 736.0, 742.0, 0.262, 0.313, 0.343, 82.0, -235.0, -246.0, 1137.0, 506.0, 136.0, 70.0, 0.972, 51.0, 12.0, S, 1, 0
LUKE APPLING, 20.0, 2422.0, 8856.0, 1319.0, 2749.0, 440.0, 102.0, 45.0, 1116.0, 1302.0, 528.0, 0.31, 0.399, 0.398, 113.0, 196.0, 209.0, 1493.0, 179.0, 108.0, -11.0, 0.948, 73.0, 40.9, S, 1, 0
RICHIE ASHBURN, 15.0, 2189.0, 8365.0, 1322.0, 2574.0, 317.0, 109.0, 29.0, 586.0, 1198.0, 571.0, 0.308, 0.397, 0.382, 111.0, 169.0, 182.0, 1386.0, 234.0, 92.0, 0.0, 0.983, 234.0, 30.7, O, 2, 0
EARL AVERILL, 13.0, 1668.0, 6353.0, 1224.0, 2019.0, 401.0, 128.0, 238.0, 1164.0, 774.0, 518.0, 0.318, 0.395, 0.534, 132.0, 334.0, 305.0, 1358.0, 70.0, 57.0, 0.0, 0.97, -8.0, 18.3, O, 2, 0
BOB BAILEY, 17.0, 1931.0, 6082.0, 772.0, 1564.0, 234.0, 43.0, 189.0, 773.0, 852.0, 1126.0, 0.257, 0.35, 0.403, 111.0, 106.0, 101.0, 852.0, 85.0, 83.0, -24.0, 0.946, -58.0, -1.8, 3, 0, 0
FRANK BAKER, 13.0, 1575.0, 5984.0, 887.0, 1838.0, 315.0, 103.0, 96.0, 987.0, 473.0, 182.0, 0.307, 0.363, 0.442, 136.0, 243.0, 246.0, 1020.0, 235.0, 28.0, 0.0, 0.943, 37.0, 33.5, 3, 2, 0
DUSTY BAKER, 19.0, 2039.0, 7117.0, 964.0, 1981.0, 320.0, 23.0, 242.0, 1013.0, 762.0, 926.0, 0.278, 0.351, 0.432, 116.0, 153.0, 152.0, 1084.0, 137.0, 73.0, -3.0, 0.985, -51.0, 2.7, O, 0, 0
DAVE BANCROFT, 16.0, 1913.0, 7182.0, 1048.0, 2004.0, 320.0, 77.0, 32.0, 591.0, 827.0, 487.0, 0.279, 0.355, 0.358, 98.0, -1.0, 8.0, 954.0, 145.0, 75.0, 0.0, 0.944, 198.0, 35.4, S, 2, 0
